1200000,Nate's New World Kolsch,Faction Brewing,K�lsch,(3.68), 4.8% ABV , 37 IBU , 102 Ratings , Added 08/14/15 ,/FactionBrewing
1200001,Dark Matter Black IPA,Bugnutty Brewing Company,IPA - Black / Cascadian Dark Ale,(3.78), 6.5% ABV , 67 IBU , 488 Ratings , Added 07/23/16 ,/BugnuttyBrew
1200002,Pucker Punch,Golden Coast Mead,Mead - Other,(3.98), 12% ABV , No IBU , 84 Ratings , Added 08/14/15 ,/goldencoastmead
1200003,Brainstorm Ipa,TailGate Brewery,IPA - American,(3.66), No ABV , No IBU , 69 Ratings , Added 08/14/15 ,/tailgatebeer
1200004,Spike,Rhinegeist Brewery,Witbier,(3.52), 4.5% ABV , 15 IBU ," 3,250 Ratings ", Added 06/27/13 ,/Rhinegeist
1200006,Bitchin' Bacon Stout,Wasserhund Brewing Company,Stout - American,(3.65), 8.4% ABV , 32 IBU , 970 Ratings , Added 08/14/15 ,/WasserhundBrewingCompany
1200007,Matador Borracho,Kannah Creek Brewing Company,Scottish Ale,(4.02), 6% ABV , No IBU , 16 Ratings , Added 08/14/15 ,/KannahCreekBrewingCompany
1200008,Pale Ale True Hoboken,902 Brewing,Pale Ale - American,(3.45), 5.3% ABV , 30 IBU ," 1,966 Ratings ", Added 05/06/15 ,/902Brewing
1200009,Dandy In The Underworld Oyster Stout,The Dandy Brewing Company,Stout - Oyster,(3.75), 5% ABV , No IBU ," 1,952 Ratings ", Added 09/20/14 ,/DandyAlesyyc
1200010,Captain Stout,Alpine Beer Company,Stout - Other,(3.64), 6% ABV , No IBU ," 13,344 Ratings ", Added 10/07/10 ,/AlpineBeerCo
1200011,Triple Threat IPA,Due South Brewing Co.,IPA - Triple,(3.94), 8.9% ABV , No IBU , 185 Ratings , Added 08/14/15 ,/DueSouthBrewing
1200012,Mosh Pit,Acoustic Ales Brewing Experiment,Red Ale - American Amber / Red,(3.51), 6.66% ABV , No IBU ," 1,575 Ratings ", Added 11/24/12 ,/AAles
1200013,Jolly Roger,Dockyard Brewing Company,IPA - Black / Cascadian Dark Ale,(3.61), 7.8% ABV , No IBU , 67 Ratings , Added 07/02/15 ,/w/dockyard-brewing-company/10725
1200016,Detroit Common Ale,Detroit Beer Company,California Common,(3.41), No ABV , No IBU , 142 Ratings , Added 08/14/15 ,/DetroitBeerCompany
1200018,Forge Double Ipa,Forge Brewhouse,IPA - Imperial / Double,(3.47), 7.9% ABV , No IBU , 33 Ratings , Added 08/14/15 ,/ForgeBrewHouse
1200020,GoneAway,Half Acre Beer Company,IPA - American,(3.95), 7% ABV , 60 IBU ," 53,680 Ratings ", Added 11/12/13 ,/halfacrebeerco
1200023,Black Lager,The Old Bakery Beer Company,Lager - Dark,(3.84), 4.7% ABV , No IBU , 14 Ratings , Added 08/14/15 ,/OldBakeryBeer
1200024,Logger Lager Pilsner,Big Timber Brewing Company,Pilsner - German,(3.51), 5.4% ABV , 35 IBU , 591 Ratings , Added 08/14/15 ,/BigTimberBrewing
1200026,Get Bent Mountain IPA (Barrel Aged),Parkway Brewing Company,IPA - American,(3.79), 7.2% ABV , No IBU , 513 Ratings , Added 07/16/15 ,/ParkwayBrewingCompany
1200028,Farmhouse Saison,Eastern Shore Brewing Co.,Saison / Farmhouse Ale,(3.44), 5.2% ABV , 22 IBU , 265 Ratings , Added 07/15/15 ,/EasternShoreBrewing
1200029,Trifecta,Garden Grove Brewing and Urban Winery,Blonde Ale - Belgian Blonde / Golden,(3.72), 6.7% ABV , 27 IBU , 168 Ratings , Added 08/14/15 ,/GardenGroveBrewingCompany
1200030,Berryana,Kokopelli,"Homebrew, Fruit Beer",(3.4), 5.1% ABV , No IBU , 21 Ratings , Added 08/14/15 ,/w/kokopelli/196024
1200031,19-33 Pilsner,SingleCut Beersmiths,Pilsner - German,(3.45), 5.4% ABV , 45 IBU ," 6,293 Ratings ", Added 09/27/12 ,/SingleCutBeersmiths
1200032,Arlington Amber Ale,Back Bay Brewing Company,Red Ale - American Amber / Red,(3.59), 5% ABV , No IBU , 99 Ratings , Added 10/06/13 ,/BackBayBrewingCo
1200033,Gold Rush,Enki Brewing Company,Other,(3.37), No ABV , No IBU , 26 Ratings , Added 08/14/15 ,/EnkiBrewingCompany
1200034,Kolibri K�lsch,Levante Brewing Company,K�lsch,(3.6), 4.8% ABV , 25 IBU , 803 Ratings , Added 08/08/15 ,/LevanteBrewing
1200035,Layback,Pale Ale,Pale Ale - Australian,(3.67), 4.5% ABV , No IBU ," 1,068 Ratings ", Added 09/10/14 ,/ModusOperandiBrewingCo
1200037,C Legs IPA,Boxing Bear Brewing Company,IPA - American,(3.91), 7.1% ABV , 80 IBU , 42 Ratings , Added 08/14/15 ,/BoxingBear
1200038,Grapefruit Sculpin,Ballast Point Brewing Company,IPA - American,(3.99), 7% ABV , 70 IBU ," 284,076 Ratings ", Added 12/27/12 ,/BallastPoint
1200039,Keith Howard's Smoked Maibock,Cigar City Brewing,Smoked Beer,(3.64), 7.2% ABV , 35 IBU , 483 Ratings , Added 08/14/15 ,/CigarCityBrewing
1200041,Kombucha,Rising Silo Farm Brewery,Kombucha,(3.55), 0.5% ABV , No IBU , 28 Ratings , Added 08/14/15 ,/RisingSiloFarmBrewery
1200042,Keith Howard's Smoked Maibock,Cigar City Brewing,Smoked Beer,(3.64), 7.2% ABV , 35 IBU , 483 Ratings , Added 08/14/15 ,/CigarCityBrewing
1200043,Dre Hopped Malt Liquor,Jagged Mountain Craft Brewery,Malt Liquor ,(3.02), 7% ABV , No IBU , 12 Ratings , Added 08/14/15 ,/JaggedMountain
1200044,Loose Cannon,Heavy Seas Beer,IPA - American,(3.72), 7.25% ABV , 45 IBU ," 126,328 Ratings ", Added 12/28/10 ,/heavyseasbeer
1200045,Fire-n-smoke Red Lager,Anheuser-Busch,Lager - American Amber / Red,(3.17), No ABV , No IBU , 39 Ratings , Added 08/14/15 ,/AnheuserBusch
1200049,Bitter 42,Three Notch'd Brewing Company,English Bitter,(3.46), 4.2% ABV , 42 IBU , 817 Ratings , Added 12/03/13 ,/ThreeNotchdBrewing
1200051,American IPA,Cevada Pura,IPA - American,(3.75), 7% ABV , 70 IBU ," 3,037 Ratings ", Added 03/07/15 ,/CevadaPura
1200052,Vielle (July 2015),Crooked Stave Artisan Beer Project,Saison / Farmhouse Ale,(3.68), 4.2% ABV , No IBU , 38 Ratings , Added 08/14/15 ,/CrookedStave
1200053,Ryan's Root Beer,Forge Brewhouse,Root Beer,(4.34), No ABV , No IBU , 36 Ratings , Added 08/14/15 ,/ForgeBrewHouse
1200054,Cranberry Lavender,Happy Leaf Kombucha,Kombucha,(3.96), No ABV , 30 IBU , 217 Ratings , Added 08/14/15 ,/HappyLeafKombucha
1200056,SternBr�u IPA,Prost Bier,IPA - English,(3.05), 6.5% ABV , 38 IBU , 226 Ratings , Added 04/11/14 ,/w/prost-bier/25278
1200057,Barrel Aged 10-Speed Hoppy Wheat,Bloomington Brewing Company,Pale Wheat Ale - American,(3.92), 5.2% ABV , 27 IBU , 64 Ratings , Added 08/14/15 ,/bloomingtonbrew
1200058,You're Such A Dort,Figueroa Mountain Brewing Co.,Lager - Dortmunder / Export,(3.52), 5.4% ABV , 25 IBU , 335 Ratings , Added 08/14/15 ,/figmtnbrew
1200059,Cream Pale,On The Tracks Brewery,Cream Ale,(2.86), 5% ABV , 30 IBU , 26 Ratings , Added 08/14/15 ,/ottbrew
1200060,Zest-Fu,Funk Brewing,IPA - American,(3.61), 6.9% ABV , No IBU , 51 Ratings , Added 01/03/15 ,/FunkBrewingCompany
1200061,Isle of MaGourdo,Due South Brewing Co.,Pumpkin / Yam Beer,(3.56), 5.5% ABV , 18 IBU ," 2,430 Ratings ", Added 10/12/12 ,/DueSouthBrewing
1200062,Blonde,North Blyth,Blonde Ale,(3.39), 4% ABV , No IBU , 33 Ratings , Added 10/25/15 ,/NorthBlyth
1200063,Yokel,New Glarus Brewing Company,Kellerbier / Zwickelbier,(3.57), 4.2% ABV , No IBU ," 9,673 Ratings ", Added 12/24/10 ,/NewGlarusBrewingCompany
1200064,HHG APA,Central Waters Brewing Company,Pale Ale - American,(3.83), 5.4% ABV , 48 IBU ," 14,814 Ratings ", Added 03/11/15 ,/CentralWatersBrewingCompany
1200065,Peach Optimo,Sudwerk Brewing Co.,Sour - Ale,(3.92), 6.6% ABV , No IBU , 204 Ratings , Added 05/16/15 ,/SudwerkBrewingCo
1200066,Leo X,The Black Abbey Brewing Company,IPA - White,(3.8), 5.6% ABV , No IBU , 10 Ratings , Added 08/14/15 ,/blackabbeybrewing
1200069,Grapefruit Nectar,RAR Brewing,IPA - American,(3.95), 7.4% ABV , No IBU ," 3,364 Ratings ", Added 06/20/15 ,/RealerevivalBrewing
1200070,Primordial Soup (DFPF 2.0),Garagiste Meadery,Mead - Melomel,(4.14), 13% ABV , No IBU , 54 Ratings , Added 08/14/15 ,/GaragisteMeadery
1200073,Root Beer Stout,On The Tracks Brewery,Stout - Other,(3.22), 5% ABV , 40 IBU , 73 Ratings , Added 08/14/15 ,/ottbrew
1200074,Vanilla Java Porter,Atwater Brewery,Porter - English,(3.83), 5% ABV , 13 IBU ," 83,772 Ratings ", Added 08/21/10 ,/AtwaterBrewery
1200075,Raspberry Belgian Tripel,Small Batch Beer Company,Belgian Tripel,(3.87), 8.6% ABV , 25 IBU , 85 Ratings , Added 08/14/15 ,/SmallBatchBeerCo
1200076,Kentucky Pumpkin Barrel Ale,Alltech Lexington Brewing & Distilling Co.,Pumpkin / Yam Beer,(3.74), 10% ABV , No IBU ," 30,313 Ratings ", Added 08/30/13 ,/LexingtonBrewingandDistillingCo
1200078,Apricot Blonde,Cocoa Beach Brewing Company,Fruit Beer,(3.72), No ABV , No IBU , 36 Ratings , Added 08/14/15 ,/CocoaBeachBrewingCompany
1200081,Eclipse,Pappy Masterpiece (2014),Stout - American Imperial / Double,(4.54), 12.8% ABV , 80 IBU , 609 Ratings , Added 12/03/14 ,/fiftyfiftybrewing
1200082,Artemisa,Abysmo,Pale Ale - English,(3.04), 5.3% ABV , No IBU , 13 Ratings , Added 08/14/15 ,/w/abysmo/128187
1200083,Val's Tears of Love,Boggy Draw Brewery,Pale Ale - American,(3.55), 5.8% ABV , No IBU , 80 Ratings , Added 08/23/15 ,/BoggyDraw
1200084,Summer Daze,Mad Anthony Brewing Company,Pale Wheat Ale - American,(3.51), 5.5% ABV , 12 IBU ," 1,847 Ratings ", Added 06/14/11 ,/MadAnthonyBrewingCompany
1200086,Pecan Pie Stout,Dark Sky Brewing Company,Stout - Other,(3.89), 9.2% ABV , 31 IBU , 72 Ratings , Added 08/06/15 ,/DarkSkyBrewing
1200087,Grizzly Peak,Jagged Edge,Porter - Other,(3.64), 7% ABV , 25 IBU , 32 Ratings , Added 08/14/15 ,/w/jagged-edge/220459
1200088,Brett Revenuers Red Barrel,Catawba Brewing Co.,Sour - Ale,(4.03), 7% ABV , 23 IBU , 23 Ratings , Added 08/14/15 ,/catawbavalleybc
1200090,Raspberry Tripel,I & I Brewing,Belgian Tripel,(3.82), 8.6% ABV , No IBU , 40 Ratings , Added 08/14/15 ,/iandibrewing
1200091,Karl's Hefeweizen,Rio Bravo Brewing Company,Hefeweizen,(3.15), No ABV , No IBU , 121 Ratings , Added 08/14/15 ,/w/rio-bravo-brewing-company/220385
